Crop,Month,Year,Price
Rice,Jan,2017,15000
Rice,Mar,2017,14500
Rice,May,2017,14000
Rice,Jul,2017,13500
Rice,Sept,2017,14000
Rice,Nov,2017,13500
Rice,Jan,2018,14000
Rice,Mar,2018,14500
Rice,May,2018,14000
Rice,Jul,2018,13500
Rice,Sept,2018,14500
Rice,Nov,2018,15500
Rice,Jan,2019,17000
Rice,Mar,2019,17500
Rice,May,2019,18500
Rice,Jul,2019,18000
Rice,Sept,2019,19000
Rice,Nov,2019,18500
Rice,Jan,2020,17500
Rice,Mar,2020,18000
Rice,May,2020,18500
Rice,Jul,2020,18000
Rice,Sept,2020,18500
Rice,Nov,2020,19000
Rice,Jan,2021,19500
Rice,Mar,2021,20000
Rice,May,2021,19500
Rice,Jul,2021,19000
Rice,Sept,2021,19500
Rice,Nov,2021,20000
Rice,Jan,2022,21000
Rice,Mar,2022,21500
Rice,May,2022,22000
Rice,Jul,2022,21500
Rice,Sept,2022,22000
Rice,Nov,2022,22500
Rice,Jan,2023,22000
Rice,Mar,2023,22500
Rice,May,2023,23000
Rice,Jul,2023,22500
Rice,Sept,2023,22000
Rice,Nov,2023,22500
Rice,Jan,2024,23000
Wheat,Jan,2017,19500
Wheat,Mar,2017,19000
Wheat,May,2017,18000
Wheat,Jul,2017,18000
Wheat,Sept,2017,19000
Wheat,Nov,2017,19000
Wheat,Jan,2018,19500
Wheat,Mar,2018,19000
Wheat,May,2018,19500
Wheat,Jul,2018,19000
Wheat,Sept,2018,20000
Wheat,Nov,2018,19500
Wheat,Jan,2019,20500
Wheat,Mar,2019,21000
Wheat,May,2019,21000
Wheat,Jul,2019,21500
Wheat,Sept,2019,21000
Wheat,Nov,2019,22000
Wheat,Jan,2020,21500
Wheat,Mar,2020,22000
Wheat,May,2020,21500
Wheat,Jul,2020,22500
Wheat,Sept,2020,23000
Wheat,Nov,2020,22500
Wheat,Jan,2021,23000
Wheat,Mar,2021,23000
Wheat,May,2021,23500
Wheat,Jul,2021,24000
Wheat,Sept,2021,23500
Wheat,Nov,2021,24500
Wheat,Jan,2022,24500
Wheat,Mar,2022,24500
Wheat,May,2022,25000
Wheat,Jul,2022,25500
Wheat,Sept,2022,26000
Wheat,Nov,2022,25500
Wheat,Jan,2023,26000
Wheat,Mar,2023,27000
Wheat,May,2023,26500
Wheat,Jul,2023,27000
Wheat,Sept,2023,26500
Wheat,Nov,2023,25500
Wheat,Jan,2024,25500
Corn,Jan,2017,15000
Corn,Mar,2017,14500
Corn,May,2017,14000
Corn,Jul,2017,13500
Corn,Sept,2017,14000
Corn,Nov,2017,13500
Corn,Jan,2018,14000
Corn,Mar,2018,14500
Corn,May,2018,14000
Corn,Jul,2018,13500
Corn,Sept,2018,14500
Corn,Nov,2018,15500
Corn,Jan,2019,17000
Corn,Mar,2019,17500
Corn,May,2019,18500
Corn,Jul,2019,18000
Corn,Sept,2019,19000
Corn,Nov,2019,18500
Corn,Jan,2020,17500
Corn,Mar,2020,18000
Corn,May,2020,18500
Corn,Jul,2020,18000
Corn,Sept,2020,18500
Corn,Nov,2020,19000
Corn,Jan,2021,19500
Corn,Mar,2021,20000
Corn,May,2021,19500
Corn,Jul,2021,19000
Corn,Sept,2021,19500
Corn,Nov,2021,20000
Corn,Jan,2022,21000
Corn,Mar,2022,21500
Corn,May,2022,22000
Corn,Jul,2022,21500
Corn,Sept,2022,22000
Corn,Nov,2022,22500
Corn,Jan,2023,22000
Corn,Mar,2023,22500
Corn,May,2023,23000
Corn,Jul,2023,22500
Corn,Sept,2023,22000
Corn,Nov,2023,22500
Corn,Jan,2024,23000
